,NAME,NUMBER,TEAM
0,Aaron Gordon,00,ORL
1,Aaron Holiday,3,IND
2,Abdel Nader,11,OKC
3,Al Horford,42,BOS
4,Al-Farouq Aminu,8,POR
5,Alan Williams,15,BRK
6,Alec Burks,10,CLE
7,Alec Burks,13,SAC
8,Alec Burks,10,UTA
9,Alex Abrines,8,OKC
10,Alex Caruso,4,LAL
11,Alex Len,25,ATL
12,Alex Poythress,22,ATL
13,Alfonzo McKinnie,28,GSW
14,Alize Johnson,24,IND
15,Allen Crabbe,33,BRK
16,Allonzo Trier,14,NYK
17,Amile Jefferson,11,ORL
18,Amir Johnson,5,PHI
19,Andre Drummond,0,DET
20,Andre Iguodala,9,GSW
21,Andre Ingram,20,LAL
22,Andrew Bogut,12,GSW
23,Andrew Harrison,55,CLE
24,Andrew Harrison,5,MEM
25,Andrew Harrison,1,NOP
26,Andrew Wiggins,22,MIN
27,Anfernee Simons,24,POR
28,Angel Delgado,31,LAC
29,Ante Žižić,41,CLE
30,Anthony Davis,23,NOP
31,Anthony Tolliver,43,MIN
32,Antonio Blakeney,9,CHI
33,Aron Baynes,46,BOS
34,Austin Rivers,25,HOU
35,Austin Rivers,1,WAS
36,Avery Bradley,11,LAC
37,Avery Bradley,0,MEM
38,B.J. Johnson,5,ATL
39,B.J. Johnson,9,SAC
40,Bam Adebayo,13,MIA
41,Ben McLemore,23,SAC
42,Ben Simmons,25,PHI
43,Billy Garrett,3,NYK
44,Bismack Biyombo,8,CHO
45,Blake Griffin,23,DET
46,Boban Marjanović,51,LAC
47,Boban Marjanović,51,PHI
48,Bobby Portis,5,CHI
49,Bobby Portis,5,WAS
50,Bogdan Bogdanović,8,SAC
51,Bojan Bogdanović,44,IND
52,Bonzie Colson,50,MIL
53,Brad Wanamaker,9,BOS
54,Bradley Beal,3,WAS
55,Brandon Goodwin,6,DEN
56,Brandon Ingram,14,LAL
57,Brandon Knight,20,CLE
58,Brandon Knight,2,HOU
59,Brandon Sampson,44,CHI
60,Brook Lopez,11,MIL
61,Bruce Brown,6,DET
62,Bruno Caboclo,5,MEM
63,Bryn Forbes,11,SAS
64,Buddy Hield,24,SAC
65,C.J. Miles,6,MEM
66,C.J. Miles,0,TOR
67,C.J. Williams,12,MIN
68,CJ McCollum,3,POR
69,Caleb Swanigan,50,POR
70,Caleb Swanigan,50,SAC
71,Cameron Payne,22,CHI
72,Cameron Payne,3,CLE
73,Cameron Reynolds,13,MIN
74,Caris LeVert,22,BRK
75,Carmelo Anthony,7,HOU
76,Cedi Osman,16,CLE
77,Chandler Hutchison,15,CHI
78,Chandler Parsons,25,MEM
79,Channing Frye,9,CLE
80,Chasson Randle,9,WAS
81,Cheick Diallo,13,NOP
82,Chimezie Metu,7,SAS
83,Chris Boucher,25,TOR
84,Chris Chiozza,2,HOU
85,Chris Paul,3,HOU
86,Christian Wood,35,MIL
87,Christian Wood,35,NOP
88,Clint Capela,15,HOU
89,Cody Zeller,40,CHO
90,Collin Sexton,2,CLE
91,Corey Brewer,00,PHI
92,Corey Brewer,33,SAC
93,Cory Joseph,6,IND
94,Courtney Lee,1,DAL
95,Courtney Lee,5,NYK
96,Cristiano Felício,6,CHI
97,D'Angelo Russell,1,BRK
98,D.J. Augustin,14,ORL
99,D.J. Stephens,20,MEM
100,D.J. Wilson,5,MIL
101,Dairis Bertāns,9,NOP
102,Damian Jones,15,GSW
103,Damian Lillard,0,POR
104,Damion Lee,1,GSW
105,Damyean Dotson,21,NYK
106,Daniel Hamilton,5,ATL
107,Daniel Theis,27,BOS
108,Danilo Gallinari,8,LAC
109,Danny Green,14,TOR
110,Dante Cunningham,33,SAS
111,Dante Exum,11,UTA
112,Danuel House,4,HOU
113,Dario Šarić,36,MIN
114,Dario Šarić,9,PHI
115,Darius Miller,21,NOP
116,Darren Collison,2,IND
117,Daryl Macon,3,DAL
118,David Nwaba,12,CLE
119,Davon Reed,32,IND
120,De'Aaron Fox,5,SAC
121,De'Anthony Melton,14,PHO
122,DeAndre Jordan,6,DAL
123,DeAndre Jordan,6,NYK
124,DeAndre' Bembry,95,ATL
125,DeMar DeRozan,10,SAS
126,DeMarcus Cousins,0,GSW
127,DeMarre Carroll,9,BRK
128,DeVaughn Akoon-Purcell,23,DEN
129,Deandre Ayton,22,PHO
130,Delon Wright,2,MEM
131,Delon Wright,55,TOR
132,Demetrius Jackson,11,PHI
133,Deng Adel,32,CLE
134,Dennis Schröder,17,OKC
135,Dennis Smith,1,DAL
136,Dennis Smith,5,NYK
137,Deonte Burton,30,OKC
138,Derrick Favors,15,UTA
139,Derrick Jones,5,MIA
140,Derrick Rose,25,MIN
141,Derrick White,4,SAS
142,Devin Booker,1,PHO
143,Devin Harris,34,DAL
144,Devin Robinson,7,WAS
145,Devonte' Graham,4,CHO
146,Dewayne Dedmon,14,ATL
147,Deyonta Davis,4,ATL
148,Dillon Brooks,24,MEM
149,Dion Waiters,11,MIA
150,Dirk Nowitzki,41,DAL
151,Domantas Sabonis,11,IND
152,Donatas Motiejūnas,28,SAS
153,Donovan Mitchell,45,UTA
154,Donte DiVincenzo,9,MIL
155,Donte Grantham,15,OKC
156,Dorian Finney-Smith,10,DAL
157,Doug McDermott,20,IND
158,Dragan Bender,35,PHO
159,Draymond Green,23,GSW
160,Drew Eubanks,14,SAS
161,Duncan Robinson,55,MIA
162,Dusty Hannahs,8,MEM
163,Dwayne Bacon,7,CHO
164,Dwight Howard,21,WAS
165,Dwight Powell,7,DAL
166,Dwyane Wade,3,MIA
167,Dāvis Bertāns,42,SAS
168,Džanan Musa,30,BRK
169,E'Twaun Moore,55,NOP
170,Ed Davis,17,BRK
171,Edmond Sumner,5,IND
172,Ekpe Udoh,33,UTA
173,Elfrid Payton,4,NOP
174,Elie Okobo,2,PHO
175,Emanuel Terry,12,MIA
176,Emanuel Terry,10,PHO
177,Emmanuel Mudiay,1,NYK
178,Enes Kanter,00,NYK
179,Enes Kanter,00,POR
180,Eric Bledsoe,6,MIL
181,Eric Gordon,10,HOU
182,Eric Moreland,23,PHO
183,Eric Moreland,15,TOR
184,Ersan İlyasova,77,MIL
185,Evan Fournier,10,ORL
186,Evan Turner,1,POR
187,Frank Jackson,15,NOP
188,Frank Kaminsky,44,CHO
189,Frank Mason,10,SAC
190,Frank Ntilikina,11,NYK
191,Fred VanVleet,23,TOR
192,Furkan Korkmaz,30,PHI
193,Garrett Temple,17,LAC
194,Garrett Temple,17,MEM
195,Gary Clark,6,HOU
196,Gary Harris,14,DEN
197,Gary Payton,4,WAS
198,Gary Trent,9,POR
199,George Hill,3,CLE
200,George Hill,3,MIL
201,George King,8,PHO
202,Georges Niang,31,UTA
203,Gerald Green,14,HOU
204,Giannis Antetokounmpo,34,MIL
205,Glenn Robinson,22,DET
206,Goran Dragić,7,MIA
207,Gordon Hayward,20,BOS
208,Gorgui Dieng,5,MIN
209,Grayson Allen,24,UTA
210,Greg Monroe,55,BOS
211,Greg Monroe,55,PHI
212,Greg Monroe,15,TOR
213,Guerschon Yabusele,30,BOS
214,Hamidou Diallo,6,OKC
215,Harrison Barnes,40,DAL
216,Harrison Barnes,40,SAC
217,Harry Giles,20,SAC
218,Hassan Whiteside,21,MIA
219,Haywood Highsmith,7,PHI
220,Henry Ellenson,8,DET
221,Henry Ellenson,13,NYK
222,Ian Clark,2,NOP
223,Ian Mahinmi,28,WAS
224,Ike Anigbogu,13,IND
225,Iman Shumpert,1,HOU
226,Iman Shumpert,9,SAC
227,Isaac Bonga,17,LAL
228,Isaac Humphries,8,ATL
229,Isaiah Briscoe,13,ORL
230,Isaiah Canaan,7,MIL
231,Isaiah Canaan,7,MIN
232,Isaiah Canaan,0,PHO
233,Isaiah Hartenstein,55,HOU
234,Isaiah Hicks,4,NYK
235,Isaiah Thomas,0,DEN
236,Ish Smith,14,DET
237,Ivan Rabb,10,MEM
238,Ivica Zubac,40,LAC
239,Ivica Zubac,40,LAL
240,J.J. Barea,5,DAL
241,J.J. Redick,17,PHI
242,J.P. Macura,55,CHO
243,J.R. Smith,5,CLE
244,JaKarr Sampson,41,CHI
245,JaMychal Green,4,LAC
246,JaMychal Green,0,MEM
247,JaVale McGee,7,LAL
248,Jabari Parker,2,CHI
249,Jabari Parker,12,WAS
250,Jacob Evans,10,GSW
251,Jae Crowder,99,UTA
252,Jahlil Okafor,8,NOP
253,Jake Layman,10,POR
254,Jakob Pöltl,25,SAS
255,Jalen Brunson,13,DAL
256,Jalen Jones,21,CLE
257,Jamal Crawford,11,PHO
258,Jamal Murray,27,DEN
259,James Ennis,8,HOU
260,James Ennis,11,PHI
261,James Harden,13,HOU
262,James Johnson,16,MIA
263,James Nunnally,21,HOU
264,James Nunnally,7,MIN
265,Jared Dudley,6,BRK
266,Jared Terrell,3,MIN
267,Jarell Martin,2,ORL
268,Jaren Jackson,13,MEM
269,Jaron Blossomgame,4,CLE
270,Jarred Vanderbilt,8,DEN
271,Jarrett Allen,31,BRK
272,Jason Smith,20,MIL
273,Jason Smith,14,NOP
274,Jason Smith,14,WAS
275,Jawun Evans,8,OKC
276,Jawun Evans,0,PHO
277,Jaylen Adams,10,ATL
278,Jaylen Brown,7,BOS
279,Jaylen Morris,30,MIL
280,Jayson Tatum,0,BOS
281,Jeff Green,32,WAS
282,Jeff Teague,0,MIN
283,Jemerrio Jones,10,LAL
284,Jerami Grant,9,OKC
285,Jeremy Lamb,3,CHO
286,Jeremy Lin,7,ATL
287,Jeremy Lin,17,TOR
288,Jerian Grant,22,ORL
289,Jerome Robinson,10,LAC
290,Jerryd Bayless,8,MIN
291,Jevon Carter,3,MEM
292,Jimmer Fredette,32,PHO
293,Jimmy Butler,23,MIN
294,Jimmy Butler,23,PHI
295,Joakim Noah,55,MEM
296,Jodie Meeks,20,TOR
297,Joe Chealey,31,CHO
298,Joe Harris,12,BRK
299,Joe Ingles,2,UTA
300,Joel Embiid,21,PHI
301,John Collins,20,ATL
302,John Henson,31,MIL
303,John Holland,10,CLE
304,John Jenkins,30,NYK
305,John Jenkins,20,WAS
306,John Wall,2,WAS
307,Johnathan Motley,15,LAC
308,Johnathan Williams,19,LAL
309,Jon Leuer,30,DET
310,Jonah Bolden,43,PHI
311,Jonas Jerebko,21,GSW
312,Jonas Valančiūnas,17,MEM
313,Jonas Valančiūnas,17,TOR
314,Jonathan Isaac,1,ORL
315,Jonathon Simmons,17,ORL
316,Jonathon Simmons,14,PHI
317,Jordan Bell,2,GSW
318,Jordan Clarkson,8,CLE
319,Jordan Loyd,8,TOR
320,Jordan McRae,52,WAS
321,Jordan Sibert,8,ATL
322,Josh Hart,3,LAL
323,Josh Jackson,20,PHO
324,Josh Okogie,20,MIN
325,Josh Richardson,0,MIA
326,José Calderón,81,DET
327,Jrue Holiday,11,NOP
328,Juan Hernangómez,41,DEN
329,Julian Washburn,4,MEM
330,Julius Randle,30,NOP
331,Justin Anderson,1,ATL
332,Justin Holiday,7,CHI
333,Justin Holiday,7,MEM
334,Justin Jackson,44,DAL
335,Justin Jackson,25,SAC
336,Justin Patton,0,PHI
337,Justise Winslow,20,MIA
338,Jusuf Nurkić,27,POR
339,Kadeem Allen,0,NYK
340,Kalin Lucas,24,DET
341,Karl-Anthony Towns,32,MIN
342,Kawhi Leonard,2,TOR
343,Keita Bates-Diop,31,MIN
344,Kelly Olynyk,9,MIA
345,Kelly Oubre,3,PHO
346,Kelly Oubre,12,WAS
347,Kemba Walker,15,CHO
348,Kenneth Faried,35,BRK
349,Kenneth Faried,35,HOU
350,Kenrich Williams,34,NOP
351,Kent Bazemore,24,ATL
352,Kentavious Caldwell-Pope,1,LAL
353,Kevin Durant,35,GSW
354,Kevin Huerter,3,ATL
355,Kevin Knox,20,NYK
356,Kevin Love,0,CLE
357,Kevon Looney,5,GSW
358,Khem Birch,24,ORL
359,Khris Middleton,22,MIL
360,Khyri Thomas,13,DET
361,Klay Thompson,11,GSW
362,Kobi Simmons,3,CLE
363,Kosta Koufos,41,SAC
364,Kostas Antetokounmpo,37,DAL
365,Kris Dunn,32,CHI
366,Kyle Anderson,1,MEM
367,Kyle Korver,26,CLE
368,Kyle Korver,26,UTA
369,Kyle Kuzma,0,LAL
370,Kyle Lowry,7,TOR
371,Kyle O'Quinn,10,IND
372,Kyrie Irving,11,BOS
373,LaMarcus Aldridge,12,SAS
374,Lance Stephenson,6,LAL
375,Lance Thomas,42,NYK
376,Landry Shamet,20,LAC
377,Landry Shamet,1,PHI
378,Langston Galloway,9,DET
379,Larry Nance,22,CLE
380,Lauri Markkanen,24,CHI
381,LeBron James,23,LAL
382,Lonnie Walker,1,SAS
383,Lonzo Ball,2,LAL
384,Lorenzo Brown,4,TOR
385,Lou Williams,23,LAC
386,Luc Mbah a Moute,12,LAC
387,Luka Dončić,77,DAL
388,Luke Kennard,5,DET
389,Luke Kornet,2,NYK
390,Luol Deng,9,MIN
391,Malachi Richardson,22,TOR
392,Malcolm Brogdon,13,MIL
393,Malcolm Miller,13,TOR
394,Malik Beasley,25,DEN
395,Malik Monk,1,CHO
396,MarShon Brooks,8,MEM
397,Marc Gasol,33,MEM
398,Marc Gasol,33,TOR
399,Marcin Gortat,13,LAC
400,Marco Belinelli,18,SAS
401,Marcus Derrickson,32,GSW
402,Marcus Morris,13,BOS
403,Marcus Smart,36,BOS
404,Mario Hezonja,8,NYK
405,Markelle Fultz,20,PHI
406,Markieff Morris,5,OKC
407,Markieff Morris,5,WAS
408,Marquese Chriss,3,CLE
409,Marquese Chriss,0,HOU
410,Marvin Bagley,35,SAC
411,Marvin Williams,2,CHO
412,Mason Plumlee,24,DEN
413,Matthew Dellavedova,18,CLE
414,Matthew Dellavedova,8,MIL
415,Maurice Harkless,4,POR
416,Maxi Kleber,42,DAL
417,Melvin Frazier,35,ORL
418,Meyers Leonard,11,POR
419,Michael Beasley,11,LAL
420,Michael Carter-Williams,1,HOU
421,Michael Carter-Williams,7,ORL
422,Michael Kidd-Gilchrist,14,CHO
423,Mikal Bridges,25,PHO
424,Mike Conley,11,MEM
425,Mike Muscala,31,LAL
426,Mike Muscala,31,PHI
427,Mike Scott,30,LAC
428,Mike Scott,1,PHI
429,Miles Bridges,0,CHO
430,Miles Plumlee,18,ATL
431,Miloš Teodosić,4,LAC
432,Mitch Creek,55,BRK
433,Mitch Creek,55,MIN
434,Mitchell Robinson,26,NYK
435,Mo Bamba,5,ORL
436,Monte Morris,11,DEN
437,Montrezl Harrell,5,LAC
438,Moritz Wagner,15,LAL
439,Myles Turner,33,IND
440,Naz Mitrou-Long,30,UTA
441,Nemanja Bjelica,88,SAC
442,Nenê Hilário,42,HOU
443,Nerlens Noel,3,OKC
444,Nick Young,34,DEN
445,Nicolas Batum,5,CHO
446,Nik Stauskas,1,CLE
447,Nik Stauskas,6,POR
448,Nikola Jokić,15,DEN
449,Nikola Mirotić,41,MIL
450,Nikola Mirotić,3,NOP
451,Nikola Vučević,9,ORL
452,Noah Vonleh,32,NYK
453,Norman Powell,24,TOR
454,OG Anunoby,3,TOR
455,Okaro White,15,WAS
456,Omari Spellman,6,ATL
457,Omri Casspi,18,MEM
458,Otto Porter,22,CHI
459,Otto Porter,22,WAS
460,P.J. Tucker,17,HOU
461,PJ Dozier,50,BOS
462,Pascal Siakam,43,TOR
463,Pat Connaughton,24,MIL
464,Patrick Beverley,21,LAC
465,Patrick McCaw,3,CLE
466,Patrick McCaw,1,TOR
467,Patrick Patterson,54,OKC
468,Patty Mills,8,SAS
469,Pau Gasol,17,MIL
470,Pau Gasol,16,SAS
471,Paul George,13,OKC
472,Paul Millsap,4,DEN
473,Quincy Acy,4,PHO
474,Quincy Pondexter,3,SAS
475,Quinn Cook,4,GSW
476,R.J. Hunter,28,BOS
477,Rajon Rondo,9,LAL
478,Raul Neto,25,UTA
479,Rawle Alkins,20,CHI
480,Ray Spalding,26,DAL
481,Ray Spalding,26,PHO
482,Raymond Felton,2,OKC
483,Reggie Bullock,25,DET
484,Reggie Bullock,35,LAL
485,Reggie Jackson,1,DET
486,Richaun Holmes,21,PHO
487,Ricky Rubio,3,UTA
488,Robert Covington,33,MIN
489,Robert Covington,33,PHI
490,Robert Williams,44,BOS
491,Robin Lopez,42,CHI
492,Rodions Kurucs,00,BRK
493,Rodney Hood,1,CLE
494,Rodney Hood,5,POR
495,Rodney McGruder,17,MIA
496,Ron Baker,31,NYK
497,Ron Baker,84,WAS
498,Rondae Hollis-Jefferson,24,BRK
499,Royce O'Neale,23,UTA
500,Rudy Gay,22,SAS
501,Rudy Gobert,27,UTA
502,Russell Westbrook,0,OKC
503,Ryan Anderson,31,MIA
504,Ryan Anderson,15,PHO
505,Ryan Arcidiacono,51,CHI
506,Ryan Broekhoff,45,DAL
507,Salah Mejri,50,DAL
508,Sam Dekker,15,CLE
509,Sam Dekker,8,WAS
510,Scott Machado,10,LAL
511,Semi Ojeleye,37,BOS
512,Serge Ibaka,9,TOR
513,Seth Curry,31,POR
514,Shabazz Napier,13,BRK
515,Shai Gilgeous-Alexander,2,LAC
516,Shake Milton,18,PHI
517,Shaquille Harrison,3,CHI
518,Shaun Livingston,34,GSW
519,Shelvin Mack,6,CHO
520,Shelvin Mack,6,MEM
521,Sindarius Thornwell,0,LAC
522,Skal Labissière,17,POR
523,Skal Labissière,7,SAC
524,Solomon Hill,44,NOP
525,Spencer Dinwiddie,8,BRK
526,Stanley Johnson,7,DET
527,Stanley Johnson,3,NOP
528,Stephen Curry,30,GSW
529,Sterling Brown,23,MIL
530,Steven Adams,12,OKC
531,Sviatoslav Mykhailiuk,19,DET
532,Sviatoslav Mykhailiuk,10,LAL
533,T.J. Leaf,22,IND
534,T.J. McConnell,12,PHI
535,T.J. Warren,12,PHO
536,Tahjere McCall,0,BRK
537,Taj Gibson,67,MIN
538,Taurean Waller-Prince,12,ATL
539,Terrance Ferguson,23,OKC
540,Terrence Jones,9,HOU
541,Terrence Ross,31,ORL
542,Terry Rozier,12,BOS
543,Thabo Sefolosha,22,UTA
544,Thaddeus Young,21,IND
545,Theo Pinson,10,BRK
546,Thomas Bryant,13,WAS
547,Thomas Welsh,45,DEN
548,Thon Maker,7,DET
549,Thon Maker,7,MIL
550,Tim Frazier,12,MIL
551,Tim Frazier,10,NOP
552,Tim Hardaway,11,DAL
553,Tim Hardaway,3,NYK
554,Timothé Luwawu-Cabarrot,7,CHI
555,Timothé Luwawu-Cabarrot,7,OKC
556,Tobias Harris,34,LAC
557,Tobias Harris,33,PHI
558,Tomáš Satoranský,31,WAS
559,Tony Bradley,13,UTA
560,Tony Parker,9,CHO
561,Tony Snell,21,MIL
562,Torrey Craig,3,DEN
563,Trae Young,11,ATL
564,Treveon Graham,21,BRK
565,Trevon Duval,0,MIL
566,Trevor Ariza,3,PHO
567,Trevor Ariza,1,WAS
568,Trey Burke,23,DAL
569,Trey Burke,23,NYK
570,Trey Lyles,7,DEN
571,Tristan Thompson,13,CLE
572,Troy Brown,6,WAS
573,Troy Caupain,3,ORL
574,Troy Daniels,30,PHO
575,Troy Williams,19,SAC
576,Tyler Cavanaugh,34,UTA
577,Tyler Davis,34,OKC
578,Tyler Dorsey,2,ATL
579,Tyler Dorsey,22,MEM
580,Tyler Johnson,8,MIA
581,Tyler Johnson,16,PHO
582,Tyler Lydon,20,DEN
583,Tyler Ulis,0,CHI
584,Tyler Zeller,45,ATL
585,Tyler Zeller,45,MEM
586,Tyreke Evans,12,IND
587,Tyrone Wallace,9,LAC
588,Tyson Chandler,5,LAL
589,Tyson Chandler,4,PHO
590,Tyus Jones,1,MIN
591,Udonis Haslem,40,MIA
592,Victor Oladipo,4,IND
593,Vince Carter,15,ATL
594,Vince Edwards,12,HOU
595,Wade Baldwin,2,POR
596,Walt Lemon,25,CHI
597,Wayne Ellington,20,DET
598,Wayne Ellington,2,MIA
599,Wayne Selden,14,CHI
600,Wayne Selden,7,MEM
601,Wendell Carter,34,CHI
602,Wesley Iwundu,25,ORL
603,Wesley Johnson,33,NOP
604,Wesley Johnson,4,WAS
605,Wesley Matthews,23,DAL
606,Wesley Matthews,23,IND
607,Wesley Matthews,23,NYK
608,Will Barton,5,DEN
609,Willie Cauley-Stein,00,SAC
610,Willy Hernangómez,41,CHO
611,Wilson Chandler,22,LAC
612,Wilson Chandler,22,PHI
613,Yante Maten,00,MIA
614,Yogi Ferrell,3,SAC
615,Yuta Watanabe,12,MEM
616,Zach Collins,33,POR
617,Zach LaVine,8,CHI
618,Zach Lofton,18,DET
619,Zaza Pachulia,27,DET
620,Zhaire Smith,8,PHI
621,Zhou Qi,9,HOU
